id	name	int_name	alternative_names	latitude	longitude	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	country	date
3199232	Hrvatini	Hrvatini	Crevatini,Hrvatin,Hrvatini	45.58278	13.75667	P	PPL	SI		50				1232		160	Europe/Ljubljana	2014-04-24
3199234	Hrvaški Brod	Hrvaski Brod	Hrovaski Brod,Hrovaški Brod,Hrvaski Brod,Hrvaški Brod	45.86667	15.35	P	PPL	SI		B4				67		150	Europe/Ljubljana	2014-04-25
3199243	Hrušica	Hrusica	Hrusica,Hrušica	46.445	14.01778	P	PPL	SI		H4				1722		590	Europe/Ljubljana	2014-04-27
3199244	Hrušica	Hrusica	Hrusica,Hrušica	45.86444	14.11222	P	PPL	SI		01				0		877	Europe/Ljubljana	2012-01-19
3199245	Hrušica	Hrusica	Hrusica,Hrušica	45.78431	15.24512	P	PPL	SI		J7				147		291	Europe/Ljubljana	2016-02-25
3199246	Hrušica	Hrusica	Hrusica,Hrušica	45.53917	14.12222	P	PPL	SI		38				276		581	Europe/Ljubljana	2014-04-25
3199247	Hrušica	Hrusica	Birnbaumer Wald,Hrusica,Hrušica,ჰრუშიცის ტყე	45.84861	14.17694	T	MTS	SI		94				0		924	Europe/Ljubljana	2012-01-19
3199248	Hruševka	Hrusevka	Hrusevka,Hruševka	46.2281	14.72048	P	PPL	SI		H6				49		535	Europe/Ljubljana	2014-04-26
3199249	Hruševje	Hrusevje	Cruscevie,Hrusevje,Hruševje	45.76056	14.10639	P	PPL	SI		94				248		542	Europe/Ljubljana	2020-06-11
3199256	Hrpelje	Hrpelje	Erpelle,Herpelje,Hrpelje	45.60722	13.94278	P	PPL	SI		35				792		492	Europe/Ljubljana	2014-04-24
3199265	Hrib pri Koprivniku	Hrib pri Koprivniku	Hrib,Hrib pri Koprivniku	45.58333	15.03333	P	PPL	SI		H7				1		661	Europe/Ljubljana	2014-04-24
3199266	Hrib pri Kamniku	Hrib pri Kamniku	Hrib,Hrib pri Kamniku	46.23972	14.65415	P	PPL	SI		H6				66		582	Europe/Ljubljana	2014-04-26
3199267	Hrib pri Hinjah	Hrib pri Hinjah	Hrib,Hrib pri Hinjah	45.76667	14.885	P	PPL	SI		N8				22		516	Europe/Ljubljana	2014-04-24
3199268	Hrib-Loški Potok	Hrib-Loski Potok	Hrib,Hrib-Loski Potok,Hrib-Loški Potok	45.70688	14.61674	P	PPLA	SI		66				373		797	Europe/Ljubljana	2014-04-27
3199276	Hrenovice	Hrenovice	Crenovizza,Hrenovice,Hrenovilz	45.78	14.13194	P	PPL	SI		94				193		566	Europe/Ljubljana	2014-04-24
3199277	Hrenca	Hrenca	Hrenca	46.56667	15.71667	P	PPL	SI		89				144		377	Europe/Ljubljana	2014-04-24
3199287	Hrast pri Vinici	Hrast pri Vinici	Hrast,Hrast pri Vinici	45.48333	15.23333	P	PPL	SI		17				141		265	Europe/Ljubljana	2014-04-24
3199289	Hrastovlje	Hrastovlje	Cristoglle,Hrastovlje	45.51222	13.89972	P	PPL	SI		50				154		158	Europe/Ljubljana	2014-04-24
3199293	Hrastovec	Hrastovec	Hrastovec	46.37472	16.03722	P	PPL	SI		E9				443		303	Europe/Ljubljana	2014-04-24
3199295	Hrastnik pri Trojanah	Hrastnik pri Trojanah	Hrastnik,Hrastnik pri Trojanah	46.18215	14.90407	P	PPL	SI		E7				52		514	Europe/Ljubljana	2014-04-26
